product_name,sku,sale_date,quantity,unit_price,unit_cost
Widget A,WGT-A,2024-01-01,10,25.00,8.00
Widget A,WGT-A,2024-01-02,12,25.00,8.00
Widget A,WGT-A,2024-01-03,9,25.00,8.00
Widget A,WGT-A,2024-01-04,11,25.00,8.00
Widget A,WGT-A,2024-01-05,13,25.00,8.00
Widget A,WGT-A,2024-01-06,10,25.00,8.00
Widget A,WGT-A,2024-01-07,8,25.00,8.00
Widget B,WGT-B,2024-01-01,20,15.00,5.00
Widget B,WGT-B,2024-01-02,18,15.00,5.00
Widget B,WGT-B,2024-01-03,22,15.00,5.00
Widget B,WGT-B,2024-01-04,19,15.00,5.00
Widget B,WGT-B,2024-01-05,21,15.00,5.00
Widget B,WGT-B,2024-01-06,20,15.00,5.00
Widget B,WGT-B,2024-01-07,17,15.00,5.00
Widget C,WGT-C,2024-01-01,15,50.00,20.00
Widget C,WGT-C,2024-01-02,14,50.00,20.00
Widget C,WGT-C,2024-01-03,16,50.00,20.00
Widget C,WGT-C,2024-01-04,13,50.00,20.00
Widget C,WGT-C,2024-01-05,15,50.00,20.00
Widget C,WGT-C,2024-01-06,14,50.00,20.00
Widget C,WGT-C,2024-01-07,12,50.00,20.00
Widget A,WGT-A,2024-01-08,11,25.00,8.00
Widget A,WGT-A,2024-01-09,10,25.00,8.00
Widget A,WGT-A,2024-01-10,12,25.00,8.00
Widget A,WGT-A,2024-01-11,9,25.00,8.00
Widget A,WGT-A,2024-01-12,11,25.00,8.00
Widget A,WGT-A,2024-01-13,10,25.00,8.00
Widget A,WGT-A,2024-01-14,8,25.00,8.00
Widget B,WGT-B,2024-01-08,19,15.00,5.00
Widget B,WGT-B,2024-01-09,21,15.00,5.00
Widget B,WGT-B,2024-01-10,20,15.00,5.00
Widget B,WGT-B,2024-01-11,18,15.00,5.00
Widget B,WGT-B,2024-01-12,22,15.00,5.00
Widget B,WGT-B,2024-01-13,19,15.00,5.00
Widget B,WGT-B,2024-01-14,20,15.00,5.00
Widget C,WGT-C,2024-01-08,14,50.00,20.00
Widget C,WGT-C,2024-01-09,13,50.00,20.00
Widget C,WGT-C,2024-01-10,15,50.00,20.00
Widget C,WGT-C,2024-01-11,14,50.00,20.00
Widget C,WGT-C,2024-01-12,16,50.00,20.00
Widget C,WGT-C,2024-01-13,13,50.00,20.00
Widget C,WGT-C,2024-01-14,12,50.00,20.00
Widget A,WGT-A,2024-01-15,10,25.00,8.00
Widget A,WGT-A,2024-01-16,11,25.00,8.00
Widget A,WGT-A,2024-01-17,9,25.00,8.00
Widget A,WGT-A,2024-01-18,12,25.00,8.00
Widget A,WGT-A,2024-01-19,10,25.00,8.00
Widget A,WGT-A,2024-01-20,11,25.00,8.00
Widget A,WGT-A,2024-01-21,9,25.00,8.00
Widget B,WGT-B,2024-01-15,20,15.00,5.00
Widget B,WGT-B,2024-01-16,19,15.00,5.00
Widget B,WGT-B,2024-01-17,21,15.00,5.00
Widget B,WGT-B,2024-01-18,18,15.00,5.00
Widget B,WGT-B,2024-01-19,22,15.00,5.00
Widget B,WGT-B,2024-01-20,20,15.00,5.00
Widget B,WGT-B,2024-01-21,19,15.00,5.00
Widget C,WGT-C,2024-01-15,15,48.00,20.00
Widget C,WGT-C,2024-01-16,14,46.00,20.00
Widget C,WGT-C,2024-01-17,15,44.00,20.00
Widget C,WGT-C,2024-01-18,14,43.00,20.00
Widget C,WGT-C,2024-01-19,15,42.00,20.00
Widget C,WGT-C,2024-01-20,13,41.00,20.00
Widget C,WGT-C,2024-01-21,14,40.00,20.00
Widget A,WGT-A,2024-01-22,10,25.00,8.00
Widget A,WGT-A,2024-01-23,11,25.00,8.00
Widget A,WGT-A,2024-01-24,10,25.00,8.00
Widget A,WGT-A,2024-01-25,9,25.00,8.00
Widget A,WGT-A,2024-01-26,11,25.00,8.00
Widget A,WGT-A,2024-01-27,10,25.00,8.00
Widget A,WGT-A,2024-01-28,9,25.00,8.00
Widget B,WGT-B,2024-01-22,20,15.00,5.00
Widget B,WGT-B,2024-01-23,19,15.00,5.00
Widget B,WGT-B,2024-01-24,21,15.00,5.00
Widget B,WGT-B,2024-01-25,18,15.00,5.00
Widget B,WGT-B,2024-01-26,20,15.00,5.00
Widget B,WGT-B,2024-01-27,21,15.00,5.00
Widget B,WGT-B,2024-01-28,19,15.00,5.00
Widget C,WGT-C,2024-01-22,13,38.00,20.00
Widget C,WGT-C,2024-01-23,14,36.00,20.00
Widget C,WGT-C,2024-01-24,13,35.00,20.00
Widget C,WGT-C,2024-01-25,14,34.00,20.00
Widget C,WGT-C,2024-01-26,12,33.00,20.00
Widget C,WGT-C,2024-01-27,13,32.00,20.00
Widget C,WGT-C,2024-01-28,14,31.00,20.00
Widget A,WGT-A,2024-01-29,11,25.00,14.00
Widget A,WGT-A,2024-01-30,10,25.00,14.00
Widget A,WGT-A,2024-01-31,12,25.00,14.00
Widget A,WGT-A,2024-02-01,9,25.00,14.00
Widget A,WGT-A,2024-02-02,10,25.00,14.00
Widget A,WGT-A,2024-02-03,11,25.00,14.00
Widget A,WGT-A,2024-02-04,8,25.00,14.00
Widget C,WGT-C,2024-01-29,13,28.00,20.00
Widget C,WGT-C,2024-01-30,12,26.00,20.00
Widget C,WGT-C,2024-01-31,14,25.00,20.00
Widget C,WGT-C,2024-02-01,13,24.00,20.00
Widget C,WGT-C,2024-02-02,12,23.00,20.00
Widget C,WGT-C,2024-02-03,11,22.00,20.00
Widget C,WGT-C,2024-02-04,13,21.00,20.00
